ID,아이콘,추천,제목,설명
together/leadership,📅,O,학기 초 추천,새 학기 시작과 함께 팀 관계와 공동체 의식을 빠르게 만드는 데 가장 효과적입니다.
together/leadership,🎖️,,임원 프로그램,리더 역할을 맡은 학생들이 단합과 소통을 경험하는 임원 특화 활동입니다.
together/leadership,🏫,,소규모 학교,소수 인원에서도 팀 빌딩 효과를 극대화할 수 있는 유연한 구성으로 운영됩니다.
together/domino,🌱,O,신학기 어울림,"새 학기 첫 만남, 낯선 친구들과 함께 몰입하며 자연스럽게 팀워크가 쌓입니다."
together/domino,🎨,,창체 자율활동,교과 연계 없이 운영 가능. 창의적 설계와 협력 역량을 자연스럽게 키웁니다.
together/domino,🤝,,관계·협력 활동,역할 배분과 공동 목표 수행으로 관계를 쌓는 팀빌딩 프로그램에 최적입니다.
together/domino,🏫,,공동체 활동,학급·학년 단위 공동체 역량 강화에 적합한 체험형 활동입니다.
together/domino,🛡️,,학교폭력 예방,공동 미션 성취 과정에서 배려와 소통을 경험하며 예방 교육과 연계됩니다.
together/schoolping,🛡️,,학교폭력예방,안전한 관계 형성을 체험으로 배우는 예방 중심 프로그램입니다.
together/schoolping,🏕️,O,리더십 캠프,실내 캠핑 체험으로 리더십과 협동심을 함께 키웁니다.
together/schoolping,✅,,안전 교육,텐트 설치·도구 사용 과정에서 안전 습관을 자연스럽게 익힙니다.
together/schoolping,🏃,,신체 활동,팀빌딩 게임으로 체육과 공동체 활동을 하나로 묶습니다.
together/schoolping,🚌,,현장체험 대체,야외 현장체험의 실내 대체 프로그램으로 안전하게 운영됩니다.
together/facilitation,🎨,,창체 자율활동,창의적 체험활동 시간에 바로 투입 가능한 참여형 프로그램입니다.
together/facilitation,💡,O,사고력 토론,아이디어를 내고 합의하는 퍼실리테이션 과정이 토론 역량 교육과 정확히 연결됩니다.
together/facilitation,🚭,,금연 교육,금연을 주제로 퍼실리테이션 기법을 활용해 생각을 나눌 수 있습니다.
together/facilitation,🛡️,,학교폭력예방교육,폭력 예방 주제를 민주적 토론 형식으로 체험하는 연계 프로그램입니다.
together/facilitation,🗣️,,토론수업 연계,교과 토론 수업 전후 워밍업·심화 활동으로 자연스럽게 연계됩니다.
together/violence-prevention,🛡️,,학교폭력예방,레크리에이션으로 관계와 배려를 자연스럽게 체험하는 예방 활동입니다.
together/violence-prevention,🤝,,관계 협력,팀 게임과 협동 활동으로 학급 내 관계 형성을 돕습니다.
together/violence-prevention,🏫,,공동체 활동,전교생이 함께 웃으며 화합하는 공동체 경험을 만들어냅니다.
together/violence-prevention,🎉,O,교내 행사,체육대회·학교 행사 등 교내 이벤트의 핵심 프로그램으로 활용됩니다.
together/violence-prevention,💛,,인성 교육,즐기고 느끼면서 자연스럽게 배우는 체험형 인성 교육 활동입니다.
career/touching-voice,🎤,O,콘서트형 강연,"전문 가수의 라이브 퍼포먼스와 강연이 결합된, 몰입감 높은 특별 수업입니다."
career/touching-voice,🧭,,진로캠프,자신의 목소리와 감정을 탐색하며 진로 방향을 생각해보는 캠프 연계 활동입니다.
career/touching-voice,🎨,,문화예술 함양,음악·예술을 직접 경험하며 감수성과 표현력을 기르는 문화예술 교육입니다.
career/touching-voice,🪞,,자기이해 탐색,발성심리학 기반으로 목소리를 통해 자신의 감정과 성향을 이해합니다.
career/touching-voice,💛,,자존감 교육,실제 발성법을 배우며 자기 표현력과 자존감을 자연스럽게 높입니다.
