ID,용도,경로,설명,캡션
together/leadership,개요,/assets/images/programs/together/mini-sports/미니스포츠데이2.jpg,미니 스포츠데이 활동 전경,
together/leadership,대표,/assets/images/programs/together/mini-sports/미니스포츠데이1.jpg,미니 스포츠데이 활동 전체 장면,
together/leadership,대표,/assets/images/programs/together/mini-sports/미니스포츠데이2.jpg,미니 스포츠데이 팀 경기 장면,
together/leadership,대표,/assets/images/programs/together/mini-sports/미니스포츠데이3.jpg,미니 스포츠데이 마무리 장면,
together/leadership,갤러리,/assets/images/programs/together/mini-sports/미니스포츠데이3.jpg,미니 스포츠데이 활동 1,
together/leadership,갤러리,/assets/images/programs/together/mini-sports/미니스포츠데이4.jpg,미니 스포츠데이 활동 2,
together/leadership,갤러리,/assets/images/programs/together/mini-sports/미니스포츠데이5.jpg,미니 스포츠데이 활동 3,
together/leadership,갤러리,/assets/images/programs/together/mini-sports/미니스포츠데이6.jpg,미니 스포츠데이 활동 4,
together/leadership,갤러리,/assets/images/programs/together/mini-sports/미니스포츠데이7.jpg,미니 스포츠데이 활동 5,
together/leadership,갤러리,/assets/images/programs/together/mini-sports/미니스포츠데이8.jpg,미니 스포츠데이 활동 6,
together/domino,개요,/assets/images/programs/together/domino/도미노사진2.jpg,학생들이 팀별로 도미노 구조를 제작하는 장면,
together/domino,대표,/assets/images/programs/together/domino/도미노사진1.webp,도미노 챌린지 활동 전체 장면,
together/domino,대표,/assets/images/programs/together/domino/도미노사진2.webp,도미노 제작 활동 장면,
together/domino,대표,/assets/images/programs/together/domino/도미노사진3.webp,도미노 완성 및 도전 장면,
together/domino,갤러리,/assets/images/programs/together/domino/도미노사진3.jpg,도미노 제작 활동,팀별 제작
together/domino,갤러리,/assets/images/programs/together/domino/도미노사진4.jpg,연결 챌린지 장면,연결 챌린지
together/domino,갤러리,/assets/images/programs/together/domino/도미노사진5.jpg,전체 연결 성공 장면,전체 연결 성공
together/domino,갤러리,/assets/images/programs/together/domino/도미노사진6.jpg,활동 회고 장면,활동 회고
together/schoolping,개요,/assets/images/programs/together/schoolping/스쿨핑사진2.jpg,학생들이 스쿨핑 게임에 참여하는 모습,
together/schoolping,대표,/assets/images/programs/together/schoolping/스쿨핑사진1.jpg,스쿨핑 활동 전체 장면,
together/schoolping,대표,/assets/images/programs/together/schoolping/스쿨핑사진2.jpg,학생들이 스쿨핑 게임에 참여하는 모습,
together/schoolping,대표,/assets/images/programs/together/schoolping/스쿨핑사진3.jpg,스쿨핑 팀별 활동 장면,
together/schoolping,갤러리,/assets/images/programs/together/schoolping/스쿨핑사진1.jpg,스쿨핑 활동 전체,전체 활동
together/schoolping,갤러리,/assets/images/programs/together/schoolping/스쿨핑사진2.jpg,게임 진행 장면,게임 진행
together/schoolping,갤러리,/assets/images/programs/together/schoolping/스쿨핑사진3.jpg,팀 전략 장면,팀 전략 타임
together/facilitation,개요,/assets/images/programs/together/facilitation/퍼실리테이션사진2.jpg,팀이 함께 미션을 논의하는 장면,
together/facilitation,대표,/assets/images/programs/together/facilitation/퍼실리테이션사진1.webp,미션 퍼실리테이션 활동 전체 장면,
together/facilitation,대표,/assets/images/programs/together/facilitation/퍼실리테이션사진2.webp,팀이 함께 미션을 논의하는 장면,
together/facilitation,대표,/assets/images/programs/together/facilitation/퍼실리테이션사진3.webp,퍼실리테이션 활동 현장,
together/facilitation,갤러리,/assets/images/programs/together/facilitation/퍼실리테이션사진1.jpg,활동 전체 장면,전체 활동
together/facilitation,갤러리,/assets/images/programs/together/facilitation/퍼실리테이션사진2.jpg,팀 논의 장면,팀 논의
together/facilitation,갤러리,/assets/images/programs/together/facilitation/퍼실리테이션사진3.jpg,발표 장면,결과 발표
together/violence-prevention,개요,/assets/images/programs/together/violence-prevention/학교폭력사진2.jpg,학생들이 관계 형성 활동에 참여하는 장면,
together/violence-prevention,대표,/assets/images/programs/together/violence-prevention/학교폭력사진1.webp,단합 레크리에이션 활동 전체 장면,
together/violence-prevention,대표,/assets/images/programs/together/violence-prevention/학교폭력사진2.webp,단합 레크리에이션 활동 장면 2,
together/violence-prevention,대표,/assets/images/programs/together/violence-prevention/학교폭력사진3.webp,단합 레크리에이션 활동 장면 3,
together/violence-prevention,갤러리,/assets/images/programs/together/violence-prevention/학교폭력사진3.jpg,레크리에이션 활동 장면 1,공감 게임
together/violence-prevention,갤러리,/assets/images/programs/together/violence-prevention/학교폭력사진4.jpg,레크리에이션 활동 장면 2,역할 체험
together/violence-prevention,갤러리,/assets/images/programs/together/violence-prevention/학교폭력사진5.jpg,레크리에이션 활동 장면 3,관계 미션
together/violence-prevention,갤러리,/assets/images/programs/together/violence-prevention/학교폭력사진6.jpg,레크리에이션 활동 장면 4,마무리 다짐
career/touching-voice,개요,/assets/images/programs/career/touching-voice/터칭보이스사진2.png,터칭보이스 강연 활동 장면,
career/touching-voice,대표,/assets/images/programs/career/touching-voice/터칭보이스사진1.png,터칭보이스 콘서트형 강연 장면,
career/touching-voice,갤러리,/assets/images/programs/career/touching-voice/터칭보이스사진1.png,터칭보이스 활동 1,강연 시작
career/touching-voice,갤러리,/assets/images/programs/career/touching-voice/터칭보이스사진2.png,터칭보이스 활동 2,음악과 이야기
career/touching-voice,갤러리,/assets/images/programs/career/touching-voice/터칭보이스사진3.png,터칭보이스 활동 3,자기 탐색
career/touching-voice,갤러리,/assets/images/programs/career/touching-voice/터칭보이스사진4.png,터칭보이스 활동 4,마무리 퍼포먼스
career/job-lab,개요,/assets/images/programs/career/job-lab.png,미래직업연구소 강연 활동,
