ID,이름,설명
together/schoolping,텐트 꾸미기,다양한 꾸미기 도구로 우리 조만의 텐트를 꾸미는 화합 활동입니다.
together/schoolping,공동체 도구 게임,바운드볼·로프챌린지·파이프라인 등 협동 신체활동으로 구성됩니다.
together/schoolping,협동 미션,음악퀴즈·협동 사진 미션 등을 통한 화합 활동으로 마무리합니다.
together/facilitation,아이스브레이킹,팀 분위기를 여는 도입 활동 및 기초 퍼실리테이션 교육 소개입니다.
together/facilitation,ORID 회의기법,Object–Reflect–Interpret–Decide 토론 방법을 재미있는 주제와 함께 직접 체험합니다.
together/facilitation,협동 미션,팀원이 함께 풀어내는 협력 게임으로 마무리합니다.
together/violence-prevention,아이스브레이킹 게임,분위기를 여는 리더게임·무대게임으로 자연스럽게 관계를 형성합니다.
together/violence-prevention,팀 게임,기차놀이·원진놀이 등 팀별 게임으로 협력을 경험합니다.
together/violence-prevention,협동 레크리에이션,선생님과 아이들이 함께 마무리하는 무대로 화합의 분위기를 완성합니다.
career/job-lab,사라지는 직업,AI 자동화로 변화하는 직업군을 탐구합니다.
career/job-lab,새로 생기는 직업,기술 발전으로 등장하는 신규 직업을 탐구합니다.
career/job-lab,나만의 미래 직업,나의 강점과 관심을 바탕으로 직업을 설계합니다.
career/talkshow,창작·예술 분야,"디자이너, 작가, 음악인 등 창의적 직업인입니다."
career/talkshow,기술·IT 분야,"개발자, 데이터 분석가 등 기술 직업인입니다."
career/talkshow,사회·서비스 분야,"교사, 사회복지사, 의료인 등 서비스 직업인입니다."
career/ceo-talk,내가 결정의 주인,내 삶의 선택은 나만이 할 수 있습니다.
career/ceo-talk,실패도 내 이야기,"실패는 경험이고, 그것도 내 것입니다."
career/ceo-talk,지금이 시작점,지금 이 순간이 가장 좋은 시작입니다.
