ID,순서,아이콘,단계명,단계설명
together/leadership,1,🏃,준비운동 & 리더 선출,팀을 구성하고 리더를 선출합니다. 본격 활동 전 몸을 풀며 팀의 분위기를 만들어갑니다.
together/leadership,2,🎯,아이스브레이킹 미션 게임,팀원과 자연스럽게 친해지는 가벼운 미션 게임으로 어색함을 웃음으로 바꿉니다.
together/leadership,3,⚽,스포츠 경기,공굴리기 · 미션게임 · 파도를 넘어라 · 파이프라인 등 단순히 몸을 쓰는 것뿐 아니라 팀 빌딩의 화합이 합쳐진 게임들로 진행됩니다.
together/leadership,4,🎉,승부 결정 & 마무리,"결과를 발표하고 교육적으로 마무리합니다. 이긴 팀은 성공의 뿌듯함을, 진 팀은 다시 할 수 있다는 용기를 얻어갑니다."
together/domino,1,🎯,아이스브레이킹,팀 구성 및 역할 배분으로 활동을 시작합니다.
together/domino,2,📐,도미노 설계,구간 레이아웃과 도면을 직접 작성합니다.
together/domino,3,🔧,도미노 설치,안전을 확인하며 팀원과 함께 도미노를 세웁니다.
together/domino,4,🎬,도미노 SHOW,팀별 구간을 연결하고 전체 쇼를 펼칩니다.
together/domino,5,📸,기념촬영,완성한 작품 앞에서 함께 성취를 기념합니다.
together/schoolping,1,⛺,텐트 설치 · 꾸미기,팀별 텐트를 직접 설치하고 꾸미기 도구로 팀 공간을 만듭니다.
together/schoolping,2,🤝,아이스브레이킹 미션,팀 이름·구호를 정하고 가벼운 공동체 미션으로 마음을 엽니다.
together/schoolping,3,🎮,팀빌딩 게임,바운드볼·파이프라인·로프챌린지 등 협동 신체 게임을 진행합니다.
together/schoolping,4,🏆,협동 미션 대결,풍선탑·음악퀴즈 등 팀 대항 미션으로 흥미와 긴장감을 높입니다.
together/schoolping,5,📸,마무리 · 기념촬영,텐트 정리 후 팀별·전체 기념사진을 찍으며 마무리합니다.
together/facilitation,1,🎯,아이스브레이킹,팀 빌딩 게임으로 분위기를 열고 서로를 알아갑니다.
together/facilitation,2,📚,퍼실리테이션 소개,퍼실리테이션 기법의 개념과 목적을 쉽고 재미있게 소개합니다.
together/facilitation,3,💬,ORID 실습,주제를 함께 정하고 ORID 회의기법으로 직접 토론을 체험합니다.
together/facilitation,4,🤝,협동 미션,배운 퍼실리테이션 기법으로 팀원이 함께 협력 게임을 풀어냅니다.
together/facilitation,5,🎤,회고 · 발표,활동 과정을 돌아보고 팀별로 배운 점을 공유합니다.
together/violence-prevention,1,⚙️,세팅 · 조 편성,공간 정리와 도구 점검 후 팀을 나누고 자리를 잡습니다.
together/violence-prevention,2,🎯,아이스브레이킹,리더게임·무대게임으로 분위기를 자연스럽게 열어갑니다.
together/violence-prevention,3,🎮,팀 게임,기차놀이·원진놀이 등 팀별 신체 게임으로 협력을 경험합니다.
together/violence-prevention,4,🎉,협동 레크리에이션,선생님과 학생이 함께하는 무대로 화합의 분위기를 완성합니다.
together/violence-prevention,5,📸,기념촬영 · 마무리,팀별·전체 기념사진으로 오늘의 추억을 마무리합니다.
career/touching-voice,1,🎤,아이스브레이킹,사회자가 등장해 분위기를 풀어주는 아이스브레이킹으로 마음을 엽니다.
career/touching-voice,2,🎵,음악 콘서트,전문 가수가 직접 무대에 올라 라이브 음악 공연을 펼칩니다.
career/touching-voice,3,🌟,진로 콘서트,가수가 자신의 진로 이야기를 음악과 함께 강연 형식으로 나눕니다.
career/touching-voice,4,🗣️,발성 체험 · 자기 탐색,발성심리학 기반으로 직접 발성을 체험하고 나의 목소리를 통해 자신을 돌아봅니다.
career/touching-voice,5,🎶,마무리 퍼포먼스 공연,가수와 함께하는 마무리 공연으로 활동을 감동적으로 마무리합니다.
